Dataset Name,Archive Type,Proxy Type,Minimum Age,Maximum Age,Longitude,Latitude,Max Resolution,Min Resolution
342_Lake_Logung__Total_inorganic_carbon,Sediment,Total inorganic carbon,627.5,2009.3,113.3075,-8.0418,0.0,21.40000000000009
345_RECALIBRATED_Lakes_Keilambete_grain_size_63um,Sediment,Grain size,-7187.0,1986.0,143.0061,-38.2161,235.0,23.0
347_Jacka_Lake__quartz_sand,Sediment,Grain size,-5771.0,2000.0,141.8,-36.8,-3.0,717.0
351_Lombok_Basin__calcium,Sediment,Calcium,-3865.8,1980.0,118.8932,-9.2236,66.0,7.0
352_Lombok_Basin__titanium,Sediment,Titanium,-3865.8,1980.0,118.8932,-9.2236,66.0,7.0
353_Lombok_Basin__iron,Sediment,Iron,-3865.8,1980.0,118.8932,-9.2236,66.0,7.0
354_Lombok_Basin__lnTiCa,Sediment,Natural log of ti/ca,-3865.8,1980.0,118.8932,-9.2236,66.0,7.0
355_Makassar_Strait_982160Newton__carbonate_stable_isotopes,Foraminifera,Delta-oxygen-18,1004.36,1840.05,117.487,-5.2011,15.759999999999991,1.6399999999999864
357_Makassar_Strait_982160Newton__mgca,Foraminifera,Magnesium-calcium ratio,1004.36,1840.05,117.487,-5.2011,20.00999999999999,1.6399999999999864
374_Oppo_Makassar_Strait_BJ80331MCA_d18Ocalcite,Foraminifera,Delta-oxygen-18,1711.5,1986.6,119.45,-3.833,-4.5,7.0
375_Oppo_Makassar_Strait_BJ80331MCA_mgca_calcite,Foraminifera,Magnesium-calcium ratio,1711.5,1986.6,119.45,-3.833,-4.5,13.799999999999955
376_Oppo_Makassar_Strait_BJ80331MCA_feca_calcite,Foraminifera,Iron-calcium ratio,1711.5,1986.6,119.45,-3.833,-4.5,13.799999999999955
377_Oppo_Makassar_Strait_BJ80331MCA_alca_calcite,Foraminifera,Aluminium-calcium ratio,1711.5,1986.6,119.45,-3.833,-4.5,13.799999999999955
378_Oppo_Makassar_Strait_BJ80332GGC__mgca_calcite_,Foraminifera,Magnesium-calcium ratio,52.87,1950.0,119.45,-3.833,224.43000000000006,2.090000000000032
379_Oppo_Makassar_Strait_BJ80332GGC__feca_calcite,Foraminifera,Iron-calcium ratio,52.87,1950.0,119.45,-3.833,224.43000000000006,2.090000000000032
381_Oppo_Makassar_Strait_BJ80332GGC__d18Orub,Foraminifera,Delta-oxygen-18,52.87,1950.0,119.45,-3.833,224.43000000000006,2.090000000000032
383_Oppo_Makassar_Strait_BJ80332GGC__d18Orub2,Foraminifera,Delta-oxygen-18,22.0,1942.49,119.45,-3.833,61.0,2.090000000000032
384_Oppo_Makassar_Strait_BJ80332GGC__d13Crub,Foraminifera,Delta-carbon-13,22.0,1942.49,119.45,-3.833,61.0,2.090000000000032
385_Oppo_Makassar_Strait_BJ80334GGC__mgca_calcite,Foraminifera,Magnesium-calcium ratio,-365.7,1622.47,119.45,-3.833,-4.059999999999945,76.99000000000004
386_Oppo_Makassar_Strait_BJ80334GGC__mgca+25,Foraminifera,Magnesium-calcium ratio,-365.7,1622.47,119.45,-3.833,-4.059999999999945,76.99000000000004
387_Oppo_Makassar_Strait_BJ80334GGC__feca,Foraminifera,Iron-calcium ratio,-365.7,1622.47,119.45,-3.833,-4.059999999999945,76.99000000000004
388_Oppo_Makassar_Strait_BJ80334GGC__alca,Foraminifera,Aluminium-calcium ratio,-365.7,1622.47,119.45,-3.833,-4.059999999999945,76.99000000000004
390_Oppo_Makassar_Strait_BJ80334GGC__d18Orub,Foraminifera,Delta-oxygen-18,-365.7,1622.47,119.45,-3.833,-4.059999999999945,92.4
391.3_NottChillagoe_cavedeltaOxygen18,Speleothem,Delta-oxygen-18,1227.0,2003.0,144.6,-17.2,1.0,1.0
393_Oppo_Makassar_Strait_MD982160__d18Ocalcite,Foraminifera,Delta-oxygen-18,1004.36,1815.0,117.487,-5.2011,-6.669999999999845,20.710000000000036
